,date,geo_code,inf_hosp_intensive,inf_hosp_nonintensive,inf_home,inf_recovered,inf_dead,inf_tot_cum
138,2020-03-01T17:00:00,19,0,1,6,2,0,9
139,2020-03-01T17:00:00,20,0,0,0,0,0,0
140,2020-03-02T18:00:00,1,2,12,37,0,0,51
141,2020-03-02T18:00:00,2,0,0,0,0,0,0
142,2020-03-02T18:00:00,3,127,478,472,139,38,1254
143,2020-03-02T18:00:00,4,0,1,0,0,0,1
144,2020-03-02T18:00:00,5,14,53,204,0,2,273
145,2020-03-02T18:00:00,6,0,0,9,0,0,9
146,2020-03-02T18:00:00,7,1,12,5,4,0,22
147,2020-03-02T18:00:00,8,16,148,160,0,11,335
148,2020-03-02T18:00:00,9,0,7,5,1,0,13
149,2020-03-02T18:00:00,10,0,0,2,0,0,2
150,2020-03-02T18:00:00,11,6,17,11,0,1,35
151,2020-03-02T18:00:00,12,0,3,1,3,0,7
152,2020-03-02T18:00:00,13,0,3,2,0,0,5
153,2020-03-02T18:00:00,14,0,0,0,0,0,0
154,2020-03-02T18:00:00,15,0,4,13,0,0,17
155,2020-03-02T18:00:00,16,0,2,2,0,0,4
156,2020-03-02T18:00:00,17,0,0,0,0,0,0
157,2020-03-02T18:00:00,18,0,0,1,0,0,1
158,2020-03-02T18:00:00,19,0,2,3,2,0,7
159,2020-03-02T18:00:00,20,0,0,0,0,0,0
160,2020-03-03T18:00:00,1,3,13,40,0,0,56
161,2020-03-03T18:00:00,2,0,0,0,0,0,0
162,2020-03-03T18:00:00,3,167,698,461,139,55,1520
163,2020-03-03T18:00:00,4,0,2,3,0,0,5
164,2020-03-03T18:00:00,5,19,49,229,7,3,307
165,2020-03-03T18:00:00,6,0,1,12,0,0,13
166,2020-03-03T18:00:00,7,2,12,5,4,1,24
167,2020-03-03T18:00:00,8,24,187,187,4,18,420
168,2020-03-03T18:00:00,9,0,10,8,1,0,19
169,2020-03-03T18:00:00,10,1,1,6,0,0,8
170,2020-03-03T18:00:00,11,13,27,19,0,2,61
171,2020-03-03T18:00:00,12,0,10,1,3,0,14
172,2020-03-03T18:00:00,13,0,5,1,0,0,6
173,2020-03-03T18:00:00,14,0,3,0,0,0,3
174,2020-03-03T18:00:00,15,0,11,19,0,0,30
175,2020-03-03T18:00:00,16,0,2,4,0,0,6
176,2020-03-03T18:00:00,17,0,0,1,0,0,1
177,2020-03-03T18:00:00,18,0,0,1,0,0,1
178,2020-03-03T18:00:00,19,0,2,3,2,0,7
179,2020-03-03T18:00:00,20,0,1,0,0,0,1
180,2020-03-04T17:00:00,1,13,26,43,0,0,82
181,2020-03-04T17:00:00,2,0,0,0,0,0,0
182,2020-03-04T17:00:00,3,209,877,411,250,73,1820
183,2020-03-04T17:00:00,4,0,2,4,0,0,6
184,2020-03-04T17:00:00,5,23,76,246,9,6,360
185,2020-03-04T17:00:00,6,0,3,15,0,0,18
186,2020-03-04T17:00:00,7,3,10,8,4,1,26
187,2020-03-04T17:00:00,8,26,256,234,6,22,544
188,2020-03-04T17:00:00,9,2,15,20,1,0,38
189,2020-03-04T17:00:00,10,1,1,7,0,0,9
190,2020-03-04T17:00:00,11,15,34,31,0,4,84
191,2020-03-04T17:00:00,12,3,15,9,3,0,30
192,2020-03-04T17:00:00,13,0,7,0,0,0,7
193,2020-03-04T17:00:00,14,0,3,0,0,0,3
194,2020-03-04T17:00:00,15,0,11,20,0,0,31
195,2020-03-04T17:00:00,16,0,4,3,1,1,9
196,2020-03-04T17:00:00,17,0,0,1,0,0,1
